nama_file,kelas_asli,persentase_kecacatan,diameter_rata_rata,kadar_air,label_kualitas,apakah_ekspor,persentase_kecacatan_minmax,diameter_rata_rata_minmax,kadar_air_minmax,persentase_kecacatan_std,diameter_rata_rata_std,kadar_air_std
dark (1).png,Dark,0.0,6.76,11.0,Ekspor,1,0.0,0.7718,0.2703,-1.0313,0.3785,-0.8973
dark (10).png,Dark,0.0,6.79,11.0,Ekspor,1,0.0,0.7767,0.2703,-1.0313,0.413,-0.8973
dark (100).png,Dark,0.0,6.61,11.6,Ekspor,1,0.0,0.7476,0.4324,-1.0313,0.206,-0.1824
dark (101).png,Dark,0.0,6.96,11.4,Ekspor,1,0.0,0.8042,0.3784,-1.0313,0.6086,-0.4207
dark (102).png,Dark,100.0,6.46,10.9,Lokal,0,1.0,0.7233,0.2432,0.9712,0.0334,-1.0165
dark (103).png,Dark,100.0,6.74,11.0,Lokal,0,1.0,0.7686,0.2703,0.9712,0.3555,-0.8973
dark (104).png,Dark,100.0,7.14,11.3,Lokal,0,1.0,0.8333,0.3514,0.9712,0.8157,-0.5399
dark (105).png,Dark,100.0,7.14,11.3,Lokal,0,1.0,0.8333,0.3514,0.9712,0.8157,-0.5399
dark (106).png,Dark,100.0,7.12,11.3,Lokal,0,1.0,0.8301,0.3514,0.9712,0.7927,-0.5399
dark (107).png,Dark,100.0,6.86,10.9,Lokal,0,1.0,0.788,0.2432,0.9712,0.4936,-1.0165
dark (108).png,Dark,100.0,6.76,10.8,Lokal,0,1.0,0.7718,0.2162,0.9712,0.3785,-1.1356
dark (109).png,Dark,0.0,7.19,11.0,Ekspor,1,0.0,0.8414,0.2703,-1.0313,0.8732,-0.8973
dark (11).png,Dark,0.0,6.51,10.9,Ekspor,1,0.0,0.7314,0.2432,-1.0313,0.0909,-1.0165
dark (110).png,Dark,0.0,6.13,12.1,Ekspor,1,0.0,0.6699,0.5676,-1.0313,-0.3463,0.4134
dark (111).png,Dark,0.0,6.12,10.5,Ekspor,1,0.0,0.6683,0.1351,-1.0313,-0.3578,-1.4931
dark (112).png,Dark,0.0,6.16,10.6,Ekspor,1,0.0,0.6748,0.1622,-1.0313,-0.3118,-1.3739
dark (113).png,Dark,0.0,5.75,10.5,Ekspor,1,0.0,0.6084,0.1351,-1.0313,-0.7834,-1.4931
dark (114).png,Dark,0.0,6.95,10.8,Ekspor,1,0.0,0.8026,0.2162,-1.0313,0.5971,-1.1356
dark (115).png,Dark,0.0,8.0,11.5,Ekspor,1,0.0,0.9725,0.4054,-1.0313,1.8051,-0.3016
dark (116).png,Dark,0.0,7.93,11.2,Ekspor,1,0.0,0.9612,0.3243,-1.0313,1.7246,-0.659
dark (117).png,Dark,0.0,7.3,10.3,Ekspor,1,0.0,0.8592,0.0811,-1.0313,0.9998,-1.7314
dark (118).png,Dark,0.0,6.46,10.7,Ekspor,1,0.0,0.7233,0.1892,-1.0313,0.0334,-1.2548
dark (119).png,Dark,0.0,6.17,10.9,Ekspor,1,0.0,0.6764,0.2432,-1.0313,-0.3003,-1.0165
dark (12).png,Dark,0.0,7.07,11.1,Ekspor,1,0.0,0.822,0.2973,-1.0313,0.7352,-0.7782
dark (120).png,Dark,0.0,6.55,11.0,Ekspor,1,0.0,0.7379,0.2703,-1.0313,0.1369,-0.8973
dark (121).png,Dark,0.0,6.67,11.0,Ekspor,1,0.0,0.7573,0.2703,-1.0313,0.275,-0.8973
dark (122).png,Dark,0.0,6.62,10.8,Ekspor,1,0.0,0.7492,0.2162,-1.0313,0.2175,-1.1356
dark (123).png,Dark,0.0,7.3,11.1,Ekspor,1,0.0,0.8592,0.2973,-1.0313,0.9998,-0.7782
dark (124).png,Dark,0.0,7.86,10.0,Ekspor,1,0.0,0.9498,0.0,-1.0313,1.644,-2.0889
dark (125).png,Dark,0.0,7.63,11.5,Ekspor,1,0.0,0.9126,0.4054,-1.0313,1.3794,-0.3016
dark (126).png,Dark,100.0,7.49,11.2,Lokal,0,1.0,0.89,0.3243,0.9712,1.2184,-0.659
dark (127).png,Dark,100.0,7.06,10.9,Lokal,0,1.0,0.8204,0.2432,0.9712,0.7237,-1.0165
dark (128).png,Dark,0.0,7.0,11.0,Ekspor,1,0.0,0.8107,0.2703,-1.0313,0.6546,-0.8973
dark (129).png,Dark,100.0,6.0,11.1,Lokal,0,1.0,0.6489,0.2973,0.9712,-0.4958,-0.7782
dark (13).png,Dark,0.0,7.21,10.9,Ekspor,1,0.0,0.8447,0.2432,-1.0313,0.8962,-1.0165
dark (130).png,Dark,0.0,6.19,11.0,Ekspor,1,0.0,0.6796,0.2703,-1.0313,-0.2772,-0.8973
dark (131).png,Dark,100.0,6.38,11.1,Lokal,0,1.0,0.7104,0.2973,0.9712,-0.0587,-0.7782
dark (132).png,Dark,0.0,6.14,10.6,Ekspor,1,0.0,0.6715,0.1622,-1.0313,-0.3348,-1.3739
dark (133).png,Dark,100.0,7.52,10.9,Lokal,0,1.0,0.8948,0.2432,0.9712,1.2529,-1.0165
dark (134).png,Dark,100.0,7.54,10.4,Lokal,0,1.0,0.8981,0.1081,0.9712,1.2759,-1.6123
dark (135).png,Dark,100.0,6.26,11.0,Lokal,0,1.0,0.6909,0.2703,0.9712,-0.1967,-0.8973
dark (136).png,Dark,0.0,6.95,10.8,Ekspor,1,0.0,0.8026,0.2162,-1.0313,0.5971,-1.1356
dark (137).png,Dark,0.0,6.52,10.8,Ekspor,1,0.0,0.733,0.2162,-1.0313,0.1024,-1.1356
dark (138).png,Dark,0.0,6.57,10.7,Ekspor,1,0.0,0.7411,0.1892,-1.0313,0.1599,-1.2548
dark (139).png,Dark,0.0,6.77,11.2,Ekspor,1,0.0,0.7735,0.3243,-1.0313,0.39,-0.659
dark (14).png,Dark,0.0,6.03,10.7,Ekspor,1,0.0,0.6537,0.1892,-1.0313,-0.4613,-1.2548
dark (140).png,Dark,0.0,6.93,10.8,Ekspor,1,0.0,0.7994,0.2162,-1.0313,0.5741,-1.1356
dark (141).png,Dark,0.0,5.76,10.6,Ekspor,1,0.0,0.61,0.1622,-1.0313,-0.7719,-1.3739
dark (142).png,Dark,0.0,5.82,10.8,Ekspor,1,0.0,0.6197,0.2162,-1.0313,-0.7029,-1.1356
dark (143).png,Dark,0.0,7.25,11.0,Ekspor,1,0.0,0.8511,0.2703,-1.0313,0.9422,-0.8973
dark (144).png,Dark,0.0,6.73,10.7,Ekspor,1,0.0,0.767,0.1892,-1.0313,0.344,-1.2548
